"DexNumber","Name","Form","Type1","Type2","HP","Attack","Defense","SpAttack","SpDefense","Speed","Ability1","Ability2","HiddenAbility","Weight","Height","ApiId","Moves"
"38","ninetales","","fire","","73","76","75","81","100","100","flash-fire","drought","","199","11","38","agility,attract,baby-doll-eyes,baton-pass,body-slam,burning-jealousy,calm-mind,charm,confuse-ray,dark-pulse,dig,disable,double-edge,encore,endure,energy-ball,extrasensory,facade,fake-tears,fire-blast,fire-spin,flail,flame-charge,flamethrower,flare-blitz,foul-play,giga-impact,healing-wish,heat-wave,helping-hand,hex,howl,hyper-beam,hypnosis,imprison,inferno,iron-tail,memento,mystical-fire,nasty-plot,night-shade,overheat,pain-split,payback,power-swap,protect,psych-up,psyshock,quick-attack,rest,roar,round,safeguard,scorching-sands,shadow-ball,sleep-talk,snarl,snore,solar-beam,spite,stored-power,substitute,sunny-day,tail-slap,weather-ball,will-o-wisp,zen-headbutt"
"38","ninetales-alola","alola","ice","fairy","73","67","75","81","100","109","snow-cloak","snow-warning","","199","11","10104","blizzard,aurora-veil,protect,encore,icy-wind,freeze-dry,agility,attract,avalanche,baby-doll-eyes,baton-pass,body-slam,calm-mind,charm,chilling-water,confuse-ray,dark-pulse,dazzling-gleam,dig,disable,double-edge,draining-kiss,endure,extrasensory,facade,fake-tears,flail,foul-play,giga-impact,helping-hand,hex,howl,hyper-beam,hypnosis,ice-beam,ice-shard,icicle-spear,imprison,iron-tail,misty-terrain,moonblast,nasty-plot,pain-split,payback,play-rough,power-swap,psych-up,psyshock,rain-dance,rest,roar,round,safeguard,sleep-talk,snore,snowscape,spite,stored-power,substitute,tail-slap,triple-axel,weather-ball,wonder-room,zen-headbutt"
"59","arcanine","","fire","","90","110","80","100","80","95","intimidate","flash-fire","justified","1550","19","59","flare-blitz,protect,snarl,will-o-wisp,aerial-ace,agility,bite,body-slam,bulldoze,burn-up,charm,close-combat,covet,crunch,curse,dig,double-edge,dragon-pulse,endure,extreme-speed,facade,fire-blast,fire-fang,fire-spin,flame-charge,flamethrower,giga-impact,heat-crash,heat-wave,helping-hand,howl,hyper-beam,hyper-voice,iron-head,iron-tail,morning-sun,outrage,overheat,play-rough,psychic-fangs,raging-fury,rest,reversal,roar,round,scary-face,scorching-sands,sleep-talk,snore,solar-beam,substitute,sunny-day,temper-flare,thief,thrash,thunder-fang,wild-charge"
"59","arcanine-hisui","hisui","fire","rock","95","115","80","95","80","90","intimidate","flash-fire","rock-head","1680","20","10230","flare-blitz,rock-slide,extreme-speed,protect,helping-hand,snarl,aerial-ace,agility,bite,body-slam,bulldoze,burn-up,close-combat,covet,crunch,dig,double-edge,dragon-pulse,endure,facade,fire-blast,fire-fang,fire-spin,flame-charge,flamethrower,giga-impact,head-smash,heat-crash,heat-wave,howl,hyper-beam,hyper-voice,iron-head,iron-tail,morning-sun,outrage,overheat,power-gem,psychic-fangs,raging-fury,rest,reversal,roar,rock-blast,rock-tomb,round,sandstorm,scary-face,scorching-sands,sleep-talk,smack-down,smart-strike,snore,solar-beam,stealth-rock,stone-edge,substitute,sunny-day,temper-flare,thief,thrash,thunder-fang,wild-charge,will-o-wisp"
"65","alakazam","","psychic","","55","50","45","135","95","120","synchronize","inner-focus","magic-guard","480","15","65","ally-switch,attract,body-slam,calm-mind,dazzling-gleam,disable,double-team,drain-punch,encore,endure,energy-ball,expanding-force,facade,fire-punch,fling,focus-blast,foul-play,future-sight,giga-impact,grass-knot,guard-split,guard-swap,hyper-beam,ice-punch,imprison,iron-tail,light-screen,magic-room,mega-kick,nasty-plot,power-swap,protect,psychic,psychic-terrain,psycho-cut,psyshock,rain-dance,recover,reflect,rest,role-play,round,safeguard,shadow-ball,skill-swap,sleep-talk,snore,speed-swap,stored-power,substitute,sunny-day,taunt,thief,thunder-punch,thunder-wave,tri-attack,trick,trick-room,wonder-room,zen-headbutt"
"68","machamp","","fighting","","90","130","80","65","85","55","guts","no-guard","steadfast","1300","16","68","assurance,attract,body-slam,brick-break,brutal-swing,bulk-up,bulldoze,bullet-punch,close-combat,coaching,counter,cross-chop,cross-poison,darkest-lariat,detect,dig,double-edge,drain-punch,dynamic-punch,earthquake,encore,endure,facade,fire-blast,fire-punch,flamethrower,fling,focus-blast,focus-energy,giga-impact,heavy-slam,helping-hand,high-horsepower,hyper-beam,ice-punch,knock-off,light-screen,low-kick,mega-kick,payback,poison-jab,protect,quick-guard,rain-dance,rest,reversal,rock-blast,rock-slide,rock-tomb,round,scary-face,seismic-toss,sleep-talk,snore,stomping-tantrum,stone-edge,storm-throw,substitute,sunny-day,superpower,thief,throat-chop,thunder-punch,tickle,wide-guard"
"71","victreebel","","grass","poison","80","105","65","100","70","70","chlorophyll","gluttony","","155","17","71","acid-spray,body-slam,bug-bite,bullet-seed,clear-smog,encore,endure,energy-ball,gastro-acid,giga-drain,giga-impact,grass-knot,grassy-glide,growth,hyper-beam,ingrain,knock-off,leaf-blade,leaf-storm,leech-life,lunge,poison-jab,poison-powder,pounce,power-whip,protect,reflect,rest,round,scary-face,seed-bomb,sleep-powder,sleep-talk,sludge-bomb,sludge-wave,snore,solar-beam,spit-up,stockpile,strength-sap,stun-spore,substitute,sucker-punch,sunny-day,swallow,sweet-scent,swords-dance,synthesis,thief,tickle,toxic,toxic-spikes,trailblaze,venoshock,weather-ball,worry-seed,wrap"
"80","slowbro","","water","psychic","95","75","110","100","80","30","oblivious","own-tempo","regenerator","785","16","80","amnesia,avalanche,belch,belly-drum,blizzard,block,body-press,body-slam,brick-break,bulldoze,calm-mind,chilling-water,curse,dig,disable,dive,drain-punch,earthquake,endure,expanding-force,facade,fire-blast,flamethrower,fling,focus-blast,focus-punch,foul-play,future-sight,giga-impact,grass-knot,heal-pulse,helping-hand,hydro-pump,hyper-beam,ice-beam,ice-punch,icy-wind,imprison,iron-defense,iron-tail,light-screen,liquidation,mud-shot,muddy-water,nasty-plot,protect,psych-up,psychic,psychic-noise,psychic-terrain,psyshock,rain-dance,razor-shell,rest,round,safeguard,scald,shadow-ball,skill-swap,slack-off,sleep-talk,snore,snowscape,stored-power,substitute,sunny-day,surf,thunder-wave,tri-attack,trick,trick-room,water-pulse,waterfall,weather-ball,whirlpool,wonder-room,yawn,zen-headbutt"
"80","slowbro-galar","galar","poison","psychic","95","100","95","100","70","30","quick-draw","own-tempo","regenerator","705","16","10165","acid-spray,amnesia,avalanche,belch,belly-drum,blizzard,block,body-press,body-slam,brick-break,bulldoze,calm-mind,chilling-water,curse,dig,disable,dive,double-edge,drain-punch,earthquake,endure,expanding-force,facade,fire-blast,flamethrower,fling,focus-blast,foul-play,future-sight,giga-impact,grass-knot,gunk-shot,haze,heal-pulse,helping-hand,hydro-pump,hyper-beam,ice-beam,ice-punch,icy-wind,imprison,iron-defense,iron-tail,light-screen,liquidation,mud-shot,muddy-water,nasty-plot,poison-jab,power-gem,protect,psychic,psychic-terrain,psyshock,rain-dance,razor-shell,rest,rock-blast,round,safeguard,sandstorm,scary-face,shadow-ball,shell-side-arm,skill-swap,slack-off,sleep-talk,sludge-bomb,sludge-wave,smack-down,snore,snowscape,stored-power,substitute,sunny-day,surf,thunder-wave,toxic,toxic-spikes,tri-attack,trick,trick-room,venoshock,water-pulse,waterfall,weather-ball,whirlpool,wonder-room,yawn,zen-headbutt"
"94","gengar","","ghost","poison","60","65","60","130","75","110","cursed-body","","","405","15","94","protect,shadow-ball,sludge-bomb,perish-song,disable,substitute,icy-wind,psychic,will-o-wisp,acid-spray,body-slam,brick-break,clear-smog,confuse-ray,corrosive-gas,curse,dark-pulse,dazzling-gleam,destiny-bond,drain-punch,endure,energy-ball,facade,fire-punch,fling,focus-blast,focus-punch,foul-play,giga-drain,giga-impact,gunk-shot,haze,hex,hyper-beam,hypnosis,ice-punch,imprison,knock-off,mean-look,nasty-plot,night-shade,pain-split,payback,phantom-force,poison-jab,poltergeist,psych-up,psychic-noise,rain-dance,reflect-type,rest,round,scary-face,self-destruct,shadow-claw,shadow-punch,skill-swap,skitter-smack,sleep-talk,sludge-wave,snore,spite,sucker-punch,sunny-day,taunt,thief,thunder,thunder-punch,thunder-wave,thunderbolt,toxic,toxic-spikes,trick,trick-room,venoshock,wonder-room"
"115","kangaskhan","","normal","","105","95","80","40","80","90","early-bird","scrappy","inner-focus","800","22","115","fake-out,double-edge,sucker-punch,drain-punch,bite,body-slam,protect,substitute,assurance,attract,avalanche,beat-up,blizzard,brick-break,bulldoze,circle-throw,counter,crunch,dig,disable,double-hit,dynamic-punch,earthquake,endeavor,endure,facade,fire-blast,fire-punch,flamethrower,fling,focus-blast,focus-energy,giga-impact,hammer-arm,helping-hand,hydro-pump,hyper-beam,ice-beam,ice-punch,icy-wind,iron-tail,last-resort,low-kick,mega-kick,outrage,rain-dance,rest,reversal,rock-slide,rock-tomb,round,safeguard,sandstorm,shadow-ball,shadow-claw,sleep-talk,snore,solar-beam,sunny-day,surf,terrain-pulse,thief,thunder,thunder-punch,thunderbolt,uproar,whirlpool"
"121","starmie","","water","psychic","60","75","85","100","85","115","illuminate","natural-cure","analytic","800","11","121","liquidation,aqua-jet,ice-spinner,protect,psycho-cut,substitute,zen-headbutt,agility,ally-switch,ancient-power,avalanche,blizzard,bulk-up,charge-beam,chilling-water,confuse-ray,cosmic-power,dazzling-gleam,dive,double-edge,endure,expanding-force,facade,flash-cannon,flip-turn,giga-impact,grass-knot,gravity,gyro-ball,hydro-pump,hyper-beam,ice-beam,icy-wind,light-screen,meteor-beam,minimize,power-gem,psychic,psyshock,rain-dance,rapid-spin,recover,reflect,rest,round,safeguard,scald,self-destruct,skill-swap,sleep-talk,snore,surf,thunder,thunder-wave,thunderbolt,tri-attack,trick,trick-room,water-pulse,waterfall,whirlpool,wonder-room"
"127","pinsir","","bug","","65","125","100","55","70","85","hyper-cutter","mold-breaker","moxie","550","15","127","body-slam,feint,protect,quick-attack,aerial-ace,attract,bind,brick-break,brutal-swing,bug-bite,bulk-up,bulldoze,circle-throw,close-combat,detect,dig,double-hit,earthquake,endure,facade,flail,fling,focus-blast,focus-energy,giga-impact,guillotine,hard-press,helping-hand,high-horsepower,hyper-beam,iron-defense,lunge,pounce,rain-dance,rest,reversal,rock-slide,rock-tomb,round,seismic-toss,sleep-talk,snore,stone-edge,storm-throw,substitute,sunny-day,superpower,swords-dance,thief,thrash,throat-chop,x-scissor"
"128","tauros","","normal","","75","100","95","40","70","110","intimidate","anger-point","sheer-force","884","14","128","assurance,blizzard,body-slam,bulldoze,close-combat,curse,dig,double-edge,earthquake,endeavor,endure,facade,fire-blast,flamethrower,giga-impact,helping-hand,high-horsepower,hyper-beam,ice-beam,icy-wind,iron-head,iron-tail,lash-out,megahorn,outrage,payback,protect,raging-bull,rain-dance,rest,reversal,rock-slide,rock-tomb,round,sandstorm,scary-face,shadow-ball,sleep-talk,smart-strike,snore,solar-beam,stomping-tantrum,stone-edge,substitute,sunny-day,surf,swagger,thief,thrash,throat-chop,thunder,thunderbolt,trailblaze,uproar,whirlpool,wild-charge,zen-headbutt"
"128","tauros-paldea-aqua-breed","paldea-aqua-breed","fighting","water","75","110","105","30","70","100","intimidate","anger-point","cud-chew","1100","14","10252","aqua-jet,body-press,body-slam,bulk-up,bulldoze,chilling-water,close-combat,curse,dig,double-edge,drill-run,earthquake,endeavor,endure,facade,giga-impact,high-horsepower,hydro-pump,hyper-beam,iron-head,iron-tail,lash-out,liquidation,megahorn,outrage,protect,raging-bull,rain-dance,rest,reversal,rock-slide,rock-tomb,round,sandstorm,scary-face,sleep-talk,smart-strike,snore,stomping-tantrum,stone-edge,substitute,surf,swagger,thief,thrash,trailblaze,uproar,water-pulse,wave-crash,whirlpool,wild-charge,zen-headbutt"
"128","tauros-paldea-blaze-breed","paldea-blaze-breed","fighting","fire","75","110","105","30","70","100","intimidate","anger-point","cud-chew","850","14","10251","body-press,body-slam,bulk-up,bulldoze,close-combat,curse,dig,double-edge,drill-run,earthquake,endeavor,endure,facade,fire-blast,fire-spin,flame-charge,flamethrower,flare-blitz,giga-impact,high-horsepower,hyper-beam,iron-head,iron-tail,lash-out,megahorn,outrage,overheat,protect,raging-bull,rain-dance,rest,reversal,rock-slide,rock-tomb,round,sandstorm,scary-face,sleep-talk,smart-strike,snore,stomping-tantrum,stone-edge,substitute,sunny-day,swagger,temper-flare,thief,thrash,trailblaze,uproar,wild-charge,will-o-wisp,zen-headbutt"
"128","tauros-paldea-combat-breed","paldea-combat-breed","fighting","","75","110","105","30","70","100","intimidate","anger-point","cud-chew","1150","14","10250","assurance,body-press,body-slam,bulk-up,bulldoze,close-combat,curse,dig,double-edge,drill-run,earthquake,endeavor,endure,facade,giga-impact,high-horsepower,hyper-beam,iron-head,iron-tail,lash-out,megahorn,outrage,protect,raging-bull,rain-dance,rest,reversal,rock-slide,rock-tomb,round,sandstorm,scary-face,sleep-talk,smart-strike,snore,stomping-tantrum,stone-edge,substitute,sunny-day,surf,swagger,thief,thrash,throat-chop,trailblaze,uproar,wild-charge,zen-headbutt"
"130","gyarados","","water","flying","95","125","79","60","100","81","intimidate","moxie","","2350","65","130","waterfall,thunder-wave,protect,taunt,helping-hand,ice-fang,crunch,dragon-dance,aqua-tail,avalanche,bite,blizzard,body-slam,bounce,brutal-swing,bulldoze,chilling-water,dark-pulse,dive,double-edge,dragon-cheer,dragon-pulse,dragon-rush,dragon-tail,earthquake,endeavor,endure,facade,fire-blast,flail,flamethrower,giga-impact,hurricane,hydro-pump,hyper-beam,ice-beam,icy-wind,iron-head,iron-tail,lash-out,muddy-water,outrage,payback,power-whip,rain-dance,rest,roar,round,sandstorm,scald,scale-shot,scary-face,sleep-talk,snore,spite,stone-edge,substitute,sunny-day,surf,swagger,temper-flare,thrash,thunder,thunderbolt,uproar,water-pulse,whirlpool"
"132","ditto","","normal","","48","48","48","48","48","48","limber","imposter","","40","3","132","transform"
"134","vaporeon","","water","","130","65","60","110","95","65","water-absorb","hydration","","290","10","134","acid-armor,alluring-voice,aqua-ring,baby-doll-eyes,baton-pass,bite,blizzard,body-slam,calm-mind,charm,chilling-water,copycat,covet,curse,detect,dig,dive,double-edge,endure,facade,fake-tears,flail,flip-turn,focus-energy,giga-impact,haze,helping-hand,hydro-pump,hyper-beam,hyper-voice,ice-beam,icy-wind,iron-tail,last-resort,liquidation,mud-slap,muddy-water,protect,quick-attack,rain-dance,rest,roar,round,scald,shadow-ball,sleep-talk,snore,stored-power,substitute,sunny-day,surf,tickle,trailblaze,water-pulse,waterfall,weather-ball,whirlpool,yawn"
"135","jolteon","","electric","","65","65","60","110","95","130","volt-absorb","quick-feet","","245","8","135","agility,alluring-voice,baby-doll-eyes,baton-pass,bite,body-slam,calm-mind,charge,charge-beam,charm,copycat,covet,curse,detect,dig,discharge,double-edge,eerie-impulse,electric-terrain,electro-ball,electroweb,endure,facade,fake-tears,flail,focus-energy,giga-impact,helping-hand,hyper-beam,hyper-voice,last-resort,light-screen,metal-sound,mud-slap,pin-missile,protect,quick-attack,rain-dance,rest,rising-voltage,roar,round,shadow-ball,sleep-talk,snore,stored-power,substitute,sunny-day,thunder,thunder-fang,thunder-wave,thunderbolt,tickle,trailblaze,volt-switch,weather-ball,wild-charge,yawn"
"136","flareon","","fire","","65","130","60","95","110","65","flash-fire","guts","","250","9","136","alluring-voice,baby-doll-eyes,baton-pass,bite,body-slam,burning-jealousy,calm-mind,charm,copycat,covet,curse,detect,dig,double-edge,endeavor,endure,facade,fake-tears,fire-blast,fire-fang,fire-spin,flail,flame-charge,flamethrower,flare-blitz,focus-energy,giga-impact,heat-wave,helping-hand,hyper-beam,hyper-voice,last-resort,lava-plume,mud-slap,overheat,protect,quick-attack,rain-dance,rest,roar,round,scary-face,scorching-sands,shadow-ball,sleep-talk,snore,stored-power,substitute,sunny-day,superpower,temper-flare,tickle,trailblaze,weather-ball,will-o-wisp,yawn"
"142","aerodactyl","","rock","flying","80","105","65","60","75","130","rock-head","pressure","unnerve","590","18","142","dual-wingbeat,protect,rock-slide,tailwind,aerial-ace,agility,ancient-power,assurance,attract,bite,brutal-swing,bulldoze,crunch,curse,dragon-claw,dragon-dance,dragon-pulse,earth-power,earthquake,endure,facade,fire-blast,fire-fang,flamethrower,fly,giga-impact,heat-wave,hurricane,hyper-beam,ice-fang,iron-head,iron-tail,meteor-beam,payback,psychic-fangs,rain-dance,rest,roar,rock-blast,rock-tomb,roost,round,sandstorm,scary-face,sky-attack,sleep-talk,snore,stealth-rock,steel-wing,stone-edge,substitute,sunny-day,swagger,taunt,thief,thunder-fang,whirlwind,wide-guard"
"143","snorlax","","normal","","160","110","65","65","110","30","immunity","thick-fat","gluttony","4600","21","143","amnesia,attract,belch,belly-drum,bite,blizzard,block,body-press,body-slam,brick-break,bulldoze,charm,chilling-water,counter,covet,crunch,curse,dig,double-edge,earthquake,encore,endure,facade,fire-blast,fire-punch,fissure,flail,flamethrower,fling,focus-blast,focus-punch,gastro-acid,giga-impact,gunk-shot,hammer-arm,hard-press,heat-crash,heavy-slam,helping-hand,high-horsepower,hydro-pump,hyper-beam,hyper-voice,ice-beam,ice-punch,icy-wind,iron-head,last-resort,mud-slap,outrage,protect,rain-dance,recycle,rest,rock-slide,rock-tomb,round,sandstorm,screech,seed-bomb,self-destruct,shadow-ball,sleep-talk,smack-down,snore,solar-beam,stockpile,stomping-tantrum,substitute,sunny-day,supercell-slam,superpower,surf,swallow,terrain-pulse,thunder,thunder-punch,thunderbolt,trailblaze,uproar,wild-charge,yawn,zen-headbutt"
"149","dragonite","","dragon","flying","91","134","95","100","100","80","inner-focus","multiscale","","2100","22","149","protect,extreme-speed,tailwind,hurricane,dragon-pulse,scale-shot,draco-meteor,low-kick,fire-spin,roost,breaking-swipe,dragon-claw,haze,ice-beam,outrage,rock-slide,thunder,thunderbolt,aerial-ace,agility,air-cutter,air-slash,aqua-jet,aqua-tail,blizzard,body-press,body-slam,brick-break,brutal-swing,bulldoze,chilling-water,dive,dragon-cheer,dragon-dance,dragon-rush,dragon-tail,earthquake,endure,facade,fire-blast,fire-punch,flamethrower,fling,fly,focus-blast,focus-punch,giga-impact,heat-wave,helping-hand,hydro-pump,hyper-beam,ice-punch,ice-spinner,icy-wind,iron-head,iron-tail,light-screen,mega-kick,rain-dance,rest,roar,rock-tomb,round,safeguard,sandstorm,scary-face,sleep-talk,snore,snowscape,steel-wing,stomping-tantrum,stone-edge,substitute,sunny-day,superpower,surf,thunder-punch,thunder-wave,water-pulse,waterfall,weather-ball,whirlwind,wrap"
"154","meganium","","grass","","80","82","100","83","100","80","overgrow","leaf-guard","","1005","18","154","dazzling-gleam,protect,solar-beam,weather-ball,ancient-power,body-press,body-slam,bulldoze,bullet-seed,charm,counter,curse,double-edge,dragon-tail,earth-power,earthquake,encore,endeavor,endure,energy-ball,facade,fake-tears,flail,frenzy-plant,giga-drain,giga-impact,grass-knot,grassy-glide,grassy-terrain,heal-pulse,helping-hand,hyper-beam,ingrain,iron-tail,knock-off,leaf-blade,leaf-storm,leech-seed,light-screen,mud-slap,outrage,petal-blizzard,petal-dance,poison-powder,pollen-puff,reflect,rest,round,safeguard,seed-bomb,sleep-talk,snore,solar-blade,stomping-tantrum,substitute,sunny-day,sweet-scent,swords-dance,synthesis,trailblaze,zen-headbutt"
