"Name","Type","Category","Power","Accuracy","PP","Priority","Effect","EffectChance","MinHits","MaxHits","Target","Contact","Sound","Punch","Bite","Pulse","Bullet","Slicing","Recoil"
"aqua-ring","water","status","","","20","0","Restores 1/16 of the user’s max HP each turn.","","","","user","","","","","","","",""
"aqua-step","water","physical","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"aqua-tail","water","physical","90","90","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"arm-thrust","fighting","physical","15","100","20","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"armor-cannon","fire","special","120","100","8","0","","","","","selected-pokemon","","","","","","","",""
"aromatherapy","grass","status","","","8","0","Cures the entire party of major status effects.","","","","user-and-allies","","","","","","","",""
"aromatic-mist","fairy","status","","","20","0","Raises a selected ally’s Special Defense by one stage.","","","","ally","","","","","","","",""
"assist","normal","status","","","20","0","Randomly selects and uses one of the trainer’s other Pokémon’s moves.","","","","user","","","","","","","",""
"assurance","dark","physical","60","100","12","0","Power is doubled if the target has already received damage this turn.","","","","selected-pokemon","","","","","","","",""
"astonish","ghost","physical","30","100","16","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"astral-barrage","ghost","special","120","100","8","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"attack-order","bug","physical","90","100","16","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"attract","normal","status","","100","16","0","Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.","","","","selected-pokemon","","","","","","","",""
"aura-sphere","fighting","special","80","","20","0","Never misses.","","","","selected-pokemon","","","","","","","",""
"aura-wheel","electric","physical","110","100","12","0","","100","","","selected-pokemon","","","","","","","",""
"aurora-beam","ice","special","65","100","20","0","Has a $effect_chance% chance to lower the target’s Attack by one stage.","10","","","selected-pokemon","","","","","","","",""
"aurora-veil","ice","status","","","20","0","Reduces damage five turns, but must be used during hail.","","","","users-field","","","","","","","",""
"autotomize","steel","status","","","16","0","Raises the user’s Speed by two stages and halves the user’s weight.","","","","user","","","","","","","",""
"avalanche","ice","physical","60","100","12","-4","Inflicts double damage if the user takes damage before attacking this turn.","","","","selected-pokemon","","","","","","","",""
"axe-kick","fighting","physical","120","90","12","0","","","","","selected-pokemon","","","","","","","",""
"baby-doll-eyes","fairy","status","","100","20","1","Lowers the target’s Attack by one stage.","","","","selected-pokemon","","","","","","","",""
"baddy-bad","dark","special","80","95","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"baneful-bunker","poison","status","","","12","4","Grants the user protection for the rest of the turn and poisons any Pokémon that tries to use a contact move on it.","","","","user","","","","","","","",""
"barb-barrage","poison","physical","60","100","12","0","","","","","selected-pokemon","","","","","","","",""
"barrage","normal","physical","15","85","20","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"barrier","psychic","status","","","20","0","Raises the user’s Defense by two stages.","","","","user","","","","","","","",""
"baton-pass","normal","status","","","20","0","Allows the trainer to switch out the user and pass effects along to its replacement.","","","","user","","","","","","","",""
"beak-blast","flying","physical","120","100","8","-3","Inflicts a burn on any Pokémon that makes contact before the attack.","","","","selected-pokemon","","","","","","","",""
"beat-up","dark","physical","","100","12","0","Hits once for every conscious Pokémon the trainer has.","","6","6","selected-pokemon","","","","","","","",""
"behemoth-bash","steel","physical","100","100","8","0","","","","","selected-pokemon","","","","","","","",""
"behemoth-blade","steel","physical","100","100","8","0","","","","","selected-pokemon","","","","","","","",""
"belch","poison","special","120","90","12","0","Can only be used after the user has eaten a berry.","","","","selected-pokemon","","","","","","","",""
"belly-drum","normal","status","","","12","0","User pays half its max HP to max out its Attack.","","","","user","","","","","","","",""
"bestow","normal","status","","","16","0","Gives the user’s held item to the target.","","","","selected-pokemon","","","","","","","",""
"bide","normal","physical","","","12","1","User waits for two turns, then hits back for twice the damage it took.","","","","user","","","","","","","",""
"bind","normal","physical","15","85","20","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"bite","dark","physical","60","100","20","0","Has a $effect_chance% chance to make the target flinch.","30","","","selected-pokemon","","","","","","","",""
"bitter-blade","fire","physical","90","100","12","0","","","","","selected-pokemon","","","","","","","",""
"bitter-malice","ghost","special","75","100","12","0","","","","","selected-pokemon","","","","","","","",""
"black-hole-eclipse--physical","dark","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"black-hole-eclipse--special","dark","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"blast-burn","fire","special","150","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"blaze-kick","fire","physical","85","90","12","0","Has an increased chance for a critical hit and a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"blazing-torque","fire","physical","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"bleakwind-storm","flying","special","100","80","12","0","","","","","all-opponents","","","","","","","",""
"blizzard","ice","special","110","70","8","0","Has a $effect_chance% chance to freeze the target.","10","","","all-opponents","","","","","","","",""
"block","normal","status","","","8","0","Prevents the target from leaving battle.","","","","selected-pokemon","","","","","","","",""
"blood-moon","normal","special","140","100","8","0","","","","","selected-pokemon","","","","","","","",""
"bloom-doom--special","grass","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"bloom-doom--physical","grass","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"blue-flare","fire","special","130","85","8","0","Has a $effect_chance% chance to burn the target.","20","","","selected-pokemon","","","","","","","",""
"body-press","fighting","physical","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"body-slam","normal","physical","85","100","16","0","Has a $effect_chance% chance to paralyze the target.","30","","","selected-pokemon","","","","","","","",""
"bolt-beak","electric","physical","85","100","12","0","","","","","selected-pokemon","","","","","","","",""
"bolt-strike","electric","physical","130","85","8","0","Has a $effect_chance% chance to paralyze the target.","20","","","selected-pokemon","","","","","","","",""
"bone-club","ground","physical","65","85","20","0","Has a $effect_chance% chance to make the target flinch.","10","","","selected-pokemon","","","","","","","",""
"bone-rush","ground","physical","30","90","12","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"bonemerang","ground","physical","50","90","12","0","Hits twice in one turn.","","2","2","selected-pokemon","","","","","","","",""
"boomburst","normal","special","140","100","12","0","Inflicts regular damage.","","","","all-other-pokemon","","","","","","","",""
"bounce","flying","physical","85","85","8","0","User bounces high into the air, dodging all attacks, and hits next turn.","30","","","selected-pokemon","","","","","","","",""
"bouncy-bubble","water","special","60","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"branch-poke","grass","physical","40","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"brave-bird","flying","physical","120","100","16","0","User receives 1/3 the damage inflicted in recoil.","","","","selected-pokemon","","","","","","","",""
"breaking-swipe","dragon","physical","60","100","16","0","Lowers the target’s Attack by one stage after inflicting damage.","100","","","all-opponents","","","","","","","",""
"breakneck-blitz--special","normal","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"breakneck-blitz--physical","normal","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"brick-break","fighting","physical","75","100","16","0","Destroys Reflect and Light Screen.","","","","selected-pokemon","","","","","","","",""
"brine","water","special","65","100","12","0","Has double power against Pokémon that have less than half their max HP remaining.","","","","selected-pokemon","","","","","","","",""
"brutal-swing","dark","physical","60","100","20","0","Inflicts regular damage with no additional effect.","","","","all-other-pokemon","","","","","","","",""
"bubble","water","special","40","100","20","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","10","","","all-opponents","","","","","","","",""
"bubble-beam","water","special","65","100","20","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","10","","","selected-pokemon","","","","","","","",""
"bug-bite","bug","physical","60","100","20","0","If target has a berry, inflicts double damage and uses the berry.","","","","selected-pokemon","","","","","","","",""
"bug-buzz","bug","special","90","100","12","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","10","","","selected-pokemon","","","","","","","",""
"bulk-up","fighting","status","","","20","0","Raises the user’s Attack and Defense by one stage.","","","","user","","","","","","","",""
"bulldoze","ground","physical","60","100","20","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","100","","","all-other-pokemon","","","","","","","",""
"bullet-punch","steel","physical","40","100","20","1","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"bullet-seed","grass","physical","25","100","20","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"burn-up","fire","special","130","100","8","0","Removes the user’s fire type after inflicting damage.","","","","selected-pokemon","","","","","","","",""
"burning-bulwark","fire","status","0","0","12","4","","","","","user","","","","","","","",""
"burning-jealousy","fire","special","70","100","8","0","Inflicts regular damage with no additional effect.","100","","","all-opponents","","","","","","","",""
"buzzy-buzz","electric","special","60","100","20","0","Inflicts regular damage with no additional effect.","100","","","selected-pokemon","","","","","","","",""
"calm-mind","psychic","status","","","20","0","Raises the user’s Special Attack and Special Defense by one stage.","","","","user","","","","","","","",""
"camouflage","normal","status","","","20","0","User’s type changes to match the terrain.","","","","user","","","","","","","",""
"captivate","normal","status","","100","20","0","Lowers the target’s Special Attack by two stages if it’s the opposite gender.","","","","all-opponents","","","","","","","",""
"catastropika","electric","physical","210","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"ceaseless-edge","dark","physical","65","90","16","0","","","","","selected-pokemon","","","","","","","",""
"celebrate","normal","status","","","20","0","Does nothing.","","","","user","","","","","","","",""
"charge","electric","status","","","20","0","Raises the user’s Special Defense by one stage.  User’s Electric moves have doubled power next turn.","","","","user","","","","","","","",""
"charge-beam","electric","special","50","90","12","0","Has a $effect_chance% chance to raise the user’s Special Attack by one stage.","70","","","selected-pokemon","","","","","","","",""
"charm","fairy","status","","100","20","0","Lowers the target’s Attack by two stages.","","","","selected-pokemon","","","","","","","",""
"chatter","flying","special","65","100","20","0","Has a higher chance to confuse the target when the recorded sound is louder.","100","","","selected-pokemon","","","","","","","",""
"chilling-water","water","special","50","100","20","0","","","","","selected-pokemon","","","","","","","",""
"chilly-reception","ice","status","0","","12","0","","","","","entire-field","","","","","","","",""
"chip-away","normal","physical","70","100","20","0","Ignores the target’s stat modifiers.","","","","selected-pokemon","","","","","","","",""
"chloroblast","grass","special","150","95","8","0","","","","","selected-pokemon","","","","","","","",""
"circle-throw","fighting","physical","60","90","12","-6","Ends wild battles.  Forces trainers to switch Pokémon.","","","","selected-pokemon","","","","","","","",""
"clamp","water","physical","35","85","16","0","Prevents the target from fleeing and inflicts damage for 2-5 turns.","100","","","selected-pokemon","","","","","","","",""
"clanging-scales","dragon","special","110","100","8","0","Lowers the user’s Defense by one stage after inflicting damage.","100","","","all-opponents","","","","","","","",""
"clangorous-soul","dragon","status","","100","8","0","","100","","","user","","","","","","","",""
"clangorous-soulblaze","dragon","special","185","","1","0","Inflicts damage to all opposing Pokémon and increases the user’s Attack, Defense, Special Attack, Special Defense, and Speed by one stage each.","100","","","all-opponents","","","","","","","",""
"clear-smog","poison","special","50","","16","0","Removes all of the target’s stat modifiers.","","","","selected-pokemon","","","","","","","",""
"close-combat","fighting","physical","120","100","8","0","Lowers the user’s Defense and Special Defense by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"coaching","fighting","status","","","12","0","Inflicts regular damage with no additional effect.","100","","","user-and-allies","","","","","","","",""
"coil","poison","status","","","20","0","Raises the user’s Attack, Defense, and accuracy by one stage each.","","","","user","","","","","","","",""
"collision-course","fighting","physical","100","100","8","0","","","","","selected-pokemon","","","","","","","",""
"combat-torque","fighting","physical","100","100","12","0","","","","","selected-pokemon","","","","","","","",""
"comet-punch","normal","physical","18","85","16","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"comeuppance","dark","physical","1","100","12","0","","","","","specific-move","","","","","","","",""
"confide","normal","status","","","20","0","Lowers the target’s Special Attack by one stage.","100","","","selected-pokemon","","","","","","","",""
"confuse-ray","ghost","status","","100","12","0","Confuses the target.","","","","selected-pokemon","","","","","","","",""
"confusion","psychic","special","50","100","20","0","Has a $effect_chance% chance to confuse the target.","10","","","selected-pokemon","","","","","","","",""
"constrict","normal","physical","10","100","20","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","10","","","selected-pokemon","","","","","","","",""
"continental-crush--special","rock","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"continental-crush--physical","rock","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"conversion","normal","status","","","20","0","User’s type changes to the type of one of its moves at random.","","","","user","","","","","","","",""
"conversion-2","normal","status","","","20","0","Changes the user’s type to a random type either resistant or immune to the last move used against it.","","","","selected-pokemon","","","","","","","",""
"copycat","normal","status","","","20","0","Uses the target’s last used move.","","","","user","","","","","","","",""
"core-enforcer","dragon","special","100","100","12","0","Nullifies the target’s ability if it moves earlier.","","","","all-opponents","","","","","","","",""
"corkscrew-crash--special","steel","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"corkscrew-crash--physical","steel","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"corrosive-gas","poison","status","","100","20","0","Inflicts regular damage with no additional effect.","","","","all-other-pokemon","","","","","","","",""
"cosmic-power","psychic","status","","","20","0","Raises the user’s Defense and Special Defense by one stage.","","","","user","","","","","","","",""
"cotton-guard","grass","status","","","12","0","Raises the user’s Defense by three stages.","","","","user","","","","","","","",""
"cotton-spore","grass","status","","100","20","0","Lowers the target’s Speed by two stages.","","","","all-opponents","","","","","","","",""
"counter","fighting","physical","","100","20","-5","Inflicts twice the damage the user received from the last physical hit it took.","","","","specific-move","","","","","","","",""
"court-change","normal","status","","100","12","0","","","","","entire-field","","","","","","","",""
"covet","normal","physical","60","100","20","0","Takes the target’s item.","","","","selected-pokemon","","","","","","","",""
"crabhammer","water","physical","100","95","12","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"crafty-shield","fairy","status","","","12","3","Protects all friendly Pokémon from non-damaging moves.","","","","users-field","","","","","","","",""
"cross-chop","fighting","physical","100","80","8","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"cross-poison","poison","physical","70","100","20","0","Has an increased chance for a critical hit and a $effect_chance% chance to poison the target.","10","","","selected-pokemon","","","","","","","",""
"crunch","dark","physical","80","100","16","0","Has a $effect_chance% chance to lower the target’s Defense by one stage.","20","","","selected-pokemon","","","","","","","",""
"crush-claw","normal","physical","75","95","12","0","Has a $effect_chance% chance to lower the target’s Defense by one stage.","50","","","selected-pokemon","","","","","","","",""
"crush-grip","normal","physical","","100","8","0","Power increases against targets with more HP remaining, up to a maximum of 121 power.","","","","selected-pokemon","","","","","","","",""
"curse","ghost","status","","","12","0","Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.","","","","specific-move","","","","","","","",""
"cut","normal","physical","50","95","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"dark-pulse","dark","special","80","100","16","0","Has a $effect_chance% chance to make the target flinch.","20","","","selected-pokemon","","","","","","","",""
"dark-void","dark","status","","50","12","0","Puts the target to sleep.","","","","all-opponents","","","","","","","",""
"darkest-lariat","dark","physical","85","100","12","0","Ignores the target’s stat modifiers.","","","","selected-pokemon","","","","","","","",""
"dazzling-gleam","fairy","special","80","100","12","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"decorate","fairy","status","","","16","0","","100","","","selected-pokemon","","","","","","","",""
"defend-order","bug","status","","","12","0","Raises the user’s Defense and Special Defense by one stage.","","","","user","","","","","","","",""
"defense-curl","normal","status","","","20","0","Raises user’s Defense by one stage.","","","","user","","","","","","","",""
"defog","flying","status","","","16","0","Lowers the target’s evasion by one stage.  Removes field effects from the enemy field.","","","","selected-pokemon","","","","","","","",""
"destiny-bond","ghost","status","","","8","0","If the user faints this turn, the target automatically will, too.","","","","user","","","","","","","",""
"detect","fighting","status","","","8","4","Prevents any moves from hitting the user this turn.","","","","user","","","","","","","",""
"devastating-drake--special","dragon","special","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"devastating-drake--physical","dragon","physical","","","1","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"diamond-storm","rock","physical","100","95","8","0","Has a $effect_chance% chance to raise the user’s Defense by two stages for each target hit.","50","","","all-opponents","","","","","","","",""
"dig","ground","physical","80","100","12","0","User digs underground, dodging all attacks, and hits next turn.","","","","selected-pokemon","","","","","","","",""
"dire-claw","poison","physical","80","100","16","0","","","","","selected-pokemon","","","","","","","",""
"disable","normal","status","","100","20","0","Disables the target’s last used move for 1-8 turns.","","","","selected-pokemon","","","","","","","",""
"disarming-voice","fairy","special","40","","16","0","Never misses.","","","","all-opponents","","","","","","","",""
"discharge","electric","special","80","100","16","0","Has a $effect_chance% chance to paralyze the target.","30","","","all-other-pokemon","","","","","","","",""
"dive","water","physical","80","100","12","0","User dives underwater, dodging all attacks, and hits next turn.","","","","selected-pokemon","","","","","","","",""
"dizzy-punch","normal","physical","70","100","12","0","Has a $effect_chance% chance to confuse the target.","20","","","selected-pokemon","","","","","","","",""
"doodle","normal","status","0","100","12","0","","","","","selected-pokemon","","","","","","","",""
"doom-desire","steel","special","140","100","8","0","Hits the target two turns later.","","","","selected-pokemon","","","","","","","",""
"double-hit","normal","physical","35","90","12","0","Hits twice in one turn.","","2","2","selected-pokemon","","","","","","","",""
"double-iron-bash","steel","physical","60","100","8","0","Hits twice in one turn.","30","2","2","selected-pokemon","","","","","","","",""
"double-kick","fighting","physical","30","100","20","0","Hits twice in one turn.","","2","2","selected-pokemon","","","","","","","",""
"double-shock","electric","physical","120","100","8","0","","","","","selected-pokemon","","","","","","","",""
"double-slap","normal","physical","15","85","12","0","Hits 2-5 times in one turn.","","2","5","selected-pokemon","","","","","","","",""
"double-team","normal","status","","","16","0","Raises the user’s evasion by one stage.","","","","user","","","","","","","",""
"double-edge","normal","physical","120","100","16","0","User receives 1/3 the damage inflicted in recoil.","","","","selected-pokemon","","","","","","","",""
"draco-meteor","dragon","special","130","90","8","0","Lowers the user’s Special Attack by two stages after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"dragon-ascent","flying","physical","120","100","8","0","Lowers the user’s Defense and Special Defense by one stage after inflicting damage.","100","","","selected-pokemon","","","","","","","",""
"dragon-breath","dragon","special","60","100","20","0","Has a $effect_chance% chance to paralyze the target.","30","","","selected-pokemon","","","","","","","",""
"dragon-cheer","dragon","status","0","0","16","0","","","","","all-allies","","","","","","","",""
"dragon-claw","dragon","physical","80","100","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"dragon-dance","dragon","status","","","20","0","Raises the user’s Attack and Speed by one stage.","","","","user","","","","","","","",""
"dragon-darts","dragon","physical","50","100","12","0","","","2","2","selected-pokemon","","","","","","","",""
"dragon-energy","dragon","special","150","100","8","0","Inflicts regular damage with no additional effect.","","","","all-opponents","","","","","","","",""
"dragon-hammer","dragon","physical","90","100","16","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"dragon-pulse","dragon","special","85","100","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"dragon-rage","dragon","special","","100","12","0","Inflicts 40 points of damage.","","","","selected-pokemon","","","","","","","",""
"dragon-rush","dragon","physical","100","75","12","0","Has a $effect_chance% chance to make the target flinch.","20","","","selected-pokemon","","","","","","","",""
"dragon-tail","dragon","physical","60","90","12","-6","Ends wild battles.  Forces trainers to switch Pokémon.","","","","selected-pokemon","","","","","","","",""
"drain-punch","fighting","physical","75","100","12","0","Drains half the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"draining-kiss","fairy","special","50","100","12","0","Drains 75% of the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"dream-eater","psychic","special","100","100","16","0","Only works on sleeping Pokémon.  Drains half the damage inflicted to heal the user.","","","","selected-pokemon","","","","","","","",""
"drill-peck","flying","physical","80","100","20","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"drill-run","ground","physical","80","95","12","0","Has an increased chance for a critical hit.","","","","selected-pokemon","","","","","","","",""
"drum-beating","grass","physical","80","100","12","0","Has a $effect_chance% chance to lower the target’s Speed by one stage.","100","","","selected-pokemon","","","","","","","",""
"dual-chop","dragon","physical","40","90","16","0","Hits twice in one turn.","","2","2","selected-pokemon","","","","","","","",""
"dual-wingbeat","flying","physical","40","90","12","0","Inflicts regular damage with no additional effect.","","2","2","selected-pokemon","","","","","","","",""
"dynamax-cannon","dragon","special","100","100","8","0","Sets Light Screen on the user’s side of the field after inflicting damage.","","","","selected-pokemon","","","","","","","",""
"dynamic-punch","fighting","physical","100","50","8","0","Has a $effect_chance% chance to confuse the target.","100","","","selected-pokemon","","","","","","","",""
"earth-power","ground","special","90","100","12","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","10","","","selected-pokemon","","","","","","","",""
"earthquake","ground","physical","100","100","12","0","Inflicts regular damage and can hit Dig users.","","","","all-other-pokemon","","","","","","","",""
"echoed-voice","normal","special","40","100","16","0","Power increases by 100% for each consecutive use by any friendly Pokémon, to a maximum of 200.","","","","selected-pokemon","","","","","","","",""
"eerie-impulse","electric","status","","100","16","0","Lowers the target’s Special Attack by two stages.","","","","selected-pokemon","","","","","","","",""
"eerie-spell","psychic","special","80","100","8","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"egg-bomb","normal","physical","100","75","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"electric-terrain","electric","status","","","12","0","For five turns, prevents all Pokémon on the ground from sleeping and strengthens their electric moves to 1.5× their power.","","","","entire-field","","","","","","","",""
"electrify","electric","status","","","20","0","Changes the target’s move’s type to electric if it hasn’t moved yet this turn.","","","","selected-pokemon","","","","","","","",""
"electro-ball","electric","special","","100","12","0","Power is higher when the user has greater Speed than the target, up to a maximum of 150.","","","","selected-pokemon","","","","","","","",""
"electro-drift","electric","special","100","100","8","0","","","","","selected-pokemon","","","","","","","",""
"electro-shot","electric","special","130","100","12","0","","","","","selected-pokemon","","","","","","","",""
"electroweb","electric","special","55","95","16","0","Lowers the target’s Speed by one stage.","100","","","all-opponents","","","","","","","",""
"embargo","dark","status","","100","16","0","Target cannot use held items.","","","","selected-pokemon","","","","","","","",""
"ember","fire","special","40","100","20","0","Has a $effect_chance% chance to burn the target.","10","","","selected-pokemon","","","","","","","",""
"encore","normal","status","","100","8","0","Forces the target to repeat its last used move every turn for 2 to 6 turns.","","","","selected-pokemon","","","","","","","",""
"endeavor","normal","physical","","100","8","0","Lowers the target’s HP to equal the user’s.","","","","selected-pokemon","","","","","","","",""
"endure","normal","status","","","12","4","Prevents the user’s HP from lowering below 1 this turn.","","","","user","","","","","","","",""
"energy-ball","grass","special","90","100","12","0","Has a $effect_chance% chance to lower the target’s Special Defense by one stage.","10","","","selected-pokemon","","","","","","","",""
"entrainment","normal","status","","100","16","0","Copies the user’s ability onto the target.","","","","selected-pokemon","","","","","","","",""
"eruption","fire","special","150","100","8","0","Inflicts more damage when the user has more HP remaining, with a maximum of 150 power.","","","","all-opponents","","","","","","","",""
"esper-wing","psychic","special","80","100","12","0","","","","","selected-pokemon","","","","","","","",""
"eternabeam","dragon","special","160","90","8","0","User foregoes its next turn to recharge.","","","","selected-pokemon","","","","","","","",""
"expanding-force","psychic","special","80","100","12","0","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"explosion","normal","physical","250","100","8","0","User faints.","","","","all-other-pokemon","","","","","","","",""
"extrasensory","psychic","special","80","100","20","0","Has a $effect_chance% chance to make the target flinch.","10","","","selected-pokemon","","","","","","","",""
"extreme-evoboost","normal","status","","","1","0","Raises all of the user’s stats by two stages.","100","","","user","","","","","","","",""
"extreme-speed","normal","physical","80","100","8","2","Inflicts regular damage with no additional effect.","","","","selected-pokemon","","","","","","","",""
"facade","normal","physical","70","100","20","0","Power doubles if user is burned, paralyzed, or poisoned.","","","","selected-pokemon","","","","","","","",""
"fairy-lock","fairy","status","","","12","0","Prevents all Pokémon from fleeing or switching out during the next turn.","","","","entire-field","","","","","","","",""
